Family,Type,Sub Type,DM Mean (% FM),VS Mean (% FM),VS/DM Mean (% FM),BMP exp Mean (Nm3 CH4/t VS),Biodegradation %,C/N,Carbon Mean (% DM),Hydrogen Mean (% DM),Nitrogen Mean (% DM),Sulfur Mean (% DM),Oxygen Mean (% DM),Cellulose Mean (g/100g DM),Hemicelluloses Mean (g/100g DM),Lignin Mean (g/100g DM),Protein Calculated (% DM),COD Calculated (g COD/g CxHyOz)
ENSI,Mix,"Peas, Vetch, Oats, and Beans",27,24.5,0.91,331,67,20.6,45,6.1,2.2,0.2,37.4,21.9,10.7,20.2,13.7,1.5
ENSI,Grass,---,23.4,21.3,0.91,403.2,90,29.3,42.9,5.7,1.5,0.3,40.8,21.5,11.7,27.1,10.3,1.4
ENSI,Grass,---,39.9,36.1,0.91,187.2,40,49.5,42.4,6.4,0.9,0.3,40.6,21.5,11.7,27.1,10.3,1.4
MAN,Cattle,Straw,27.7,25.1,0.91,257.7,63,45.9,40.3,5.5,0.9,0.2,43.7,25.6,18.2,29.4,5.5,1.2
LCM,Straw,Waste,79.2,71.8,0.91,329.8,72,79.1,42.8,5.8,0.5,0.2,41.4,25.3,24.1,21.3,3.4,1.3
ENSI,Sorghum,---,35.9,33.1,0.92,272.6,62,51.7,43.9,5.3,0.8,0.2,42,21.7,10.8,21.1,9.4,1.4
ENSI,Sorghum,Sucro variety,15.5,14.3,0.92,351.3,79,25.1,42.6,6,1.7,0.2,41.8,25.1,12.1,18.1,10.6,1.3
ENSI,Sorghum,Vega variety,16.1,14.8,0.92,360.4,79,19.5,43.4,5.9,2.2,0.2,39.9,22.8,13.7,20,13.9,1.4
ENSI,Millet and Clover,---,27.1,24.9,0.92,303.7,69,23.3,42.6,5.8,1.8,0.3,41.3,29.6,19.1,19.6,9.5,1.3
ENSI,Millet and Clover,---,27.1,24.9,0.92,285.2,65,31.5,42.9,5.6,1.4,0.2,42.1,29.6,19.1,19.6,9.5,1.3
ENSI,Mix,"Faba bean, Rye, and Radish",20.3,18.8,0.92,300.1,72,29.4,42,5.5,1.4,0.2,43.2,19.6,10.6,22.4,8.9,1.2
SLU,Cattle,---,26.3,24.2,0.92,224.1,70,16,35.9,5.1,2.2,0.6,48,8.7,7.7,38.6,16.1,1.8
LCM,Bagasse and Straw,---,52.2,48.3,0.92,188.1,42,245.9,43.3,5.7,0.2,0.3,43,30.1,18.2,17.6,1.1,1.3
LCM,Straw,Waste,84.5,77.3,0.92,306,66,128.8,43.5,5.9,0.3,0.1,41.7,25.3,24.1,21.3,3.4,1.3
LCM,Flower residue,Lavender,88.7,81.2,0.92,200.5,42,41.5,45,6,1.1,0.3,39.3,20.8,12.1,30.8,6.8,1.4
ENSI,Rye and Vetch,---,49.4,45.9,0.93,255.1,62,40.2,42.3,5.3,1.1,0.2,44.1,25.8,15.1,22.1,6.6,1.2
CER,Mix,Cereals,87,80.6,0.93,313.3,67,12.1,43.3,6.7,3.6,0.2,38.9,50.2,7.9,14.2,9.1,1.3
CER,Mix,Cereals,77,71.9,0.93,328.4,73,18.3,43.2,6.4,2.4,0.2,41.3,50.2,7.9,14.2,9.1,1.3
CER,Mix,Silo?s lose,79.8,74.1,0.93,320.4,77,56.2,40.2,6.2,0.7,0.3,45.4,51.6,10.7,18.7,4.5,1.2
LCM,Straw,---,75.9,70.4,0.93,305.5,70,102.2,42.9,5.7,0.4,0.2,43.5,30.9,18.3,17,3.4,1.2
LCM,Straw,Waste,83.9,78.2,0.93,283.8,62,119.4,43.6,6.3,0.4,0.2,42.8,25.3,24.1,21.3,3.4,1.3
LCM,Straw,Waste,88.8,82.3,0.93,267,64,263.7,40.3,6.1,0.2,0.8,45.3,25.3,24.1,21.3,3.4,1.3
LCM,Green waste,---,37.9,35.2,0.93,212.1,47,136.8,43.4,5.8,0.3,0.6,42.7,31.9,13.8,17.9,2,1.3
LCM,Hay,Meadow,86,80.4,0.93,289,65,51.4,42.6,6.3,0.8,0.1,43.7,26.8,19.9,23.7,5.2,1.3
LCM,Maize,Leaf,37.8,35,0.93,286.3,65,56.5,43.2,5.8,0.8,0.1,42.8,25.7,20.8,27.5,4.8,1.3
ENSI,Sorghum,---,24.7,23.3,0.94,289.8,67,43.3,43.6,5.8,1,0.2,43.7,21.7,10.8,21.1,9.4,1.4
ENSI,Rye and Vetch,---,28.3,26.7,0.94,284.6,68,58.8,42.8,5.6,0.7,0.2,45,25.8,15.1,22.1,6.6,1.2
ENSI,Rapeseed,---,18.2,17.2,0.94,432.5,93,79.4,44.4,6.4,0.6,0.5,42.4,25.7,10.2,27.4,3.5,1.4
LCM,Flower residue,Lavender,82.8,78.2,0.94,171.3,37,68.8,44.3,6.3,0.6,0.6,42.6,20.8,12.1,30.8,6.8,1.4
ENSI,Maize,---,30.2,28.8,0.95,335.1,75,42.2,43.6,6.5,1,0.1,43.9,47.7,11.5,11.4,5.6,1.3
ENSI,Maize,---,32,30.3,0.95,301.1,71,37.7,42.2,6.2,1.1,0.3,44.9,47.7,11.5,11.4,5.6,1.3
ENSI,Grass,Ray-grass,17.6,16.7,0.95,393.3,87,66.5,44.5,6,0.7,0.2,43.1,31.9,14.1,21.9,4.2,1.3
LCM,Straw,Plant residues,88,83.9,0.95,277.6,68,60,42.2,5.8,0.7,0.3,46.4,28.5,17.5,16.3,4.4,1.2
LCM,Straw,Plant residues,87.2,83.2,0.95,298.9,69,89.3,42.9,6.2,0.5,0.1,45.6,28.5,17.5,16.3,4.4,1.2
LCM,Straw,Plant residues,86.3,82.3,0.95,280.5,69,68.3,41.5,6,0.6,0.2,47.1,28.5,17.5,16.3,4.4,1.2
LCM,Straw,---,86.5,82.2,0.95,277.6,67,64,43,5.7,0.7,0.1,45.5,30.9,18.3,17,3.4,1.2
LCM,Straw,---,88.3,84,0.95,302.1,72,73.6,42.3,6,0.6,0.3,46,30.9,18.3,17,3.4,1.2
LCM,Straw,---,90.6,85.8,0.95,240,60,406.3,41.2,5.7,0.1,0.8,46.9,30.9,18.3,17,3.4,1.2
LCM,Bagasse,---,43.2,40.9,0.95,173.7,39,376.8,44.6,5.9,0.1,0.2,44,32.1,15.7,22.8,0.7,1.3
ENSI,Sorghum,Sucro variety,31.3,29.9,0.96,332.7,79,73.8,43.5,5.8,0.6,0.2,45.6,25.1,12.1,18.1,10.6,1.3
ENSI,Maize,---,35.2,33.9,0.96,272.1,63,47.5,42.6,6.5,0.9,0.1,46.2,47.7,11.5,11.4,5.6,1.3
ENSI,Maize,---,28.5,27.2,0.96,376.3,89,43.3,43.1,5.9,1,0.1,45.4,47.7,11.5,11.4,5.6,1.3
ENSI,Maize,---,33.6,32.4,0.96,383.9,85,45.6,44.6,6.4,1,0.1,44.4,47.7,11.5,11.4,5.6,1.3
CER,Mix,Cereals,75.6,72.5,0.96,285.9,64,29.4,43,6.7,1.5,0.1,44.5,50.2,7.9,14.2,9.1,1.3
LCM,Straw,Plant residues,89,85.1,0.96,292.7,70,89,42.5,6.1,0.5,0.2,46.4,28.5,17.5,16.3,4.4,1.2
LCM,Straw,---,85,81.2,0.96,309.7,72,162.8,43.8,5.9,0.3,0.1,45.6,30.9,18.3,17,3.4,1.2
LCM,Straw,Waste,84.9,81.3,0.96,293.7,67,126.8,44.2,5.9,0.3,0.1,45.2,25.3,24.1,21.3,3.4,1.3
ENSI,Maize,---,36.5,35.3,0.97,336,82,47.9,41.8,6.4,0.9,0.2,47.4,47.7,11.5,11.4,5.6,1.3
ENSI,Maize,---,33,32.1,0.97,319.1,73,44.4,44.4,6.4,1,0.1,45.4,47.7,11.5,11.4,5.6,1.3
CER,Maize Residues,Follicle,73.9,71.7,0.97,279.2,64,33.1,43.1,6.8,1.3,0.2,45.6,49,10.8,12,8.2,1.3
CER,Wheat,Contaminated culture,86.2,84,0.97,317.7,78,22.9,41.2,6.8,1.8,0.2,47.4,59.3,6,5.5,11.3,1.2
CER,Maize,Fresh residue from sweet corn,23.9,23.3,0.97,306,71,43.7,43.8,6.4,1,0.1,46.3,29.5,16.1,15.4,5.1,1.2
LCM,Straw,---,87.6,84.6,0.97,274.1,67,77.8,42.7,6,0.5,0.3,47.1,30.9,18.3,17,3.4,1.2
LCM,Straw,---,88.8,86,0.97,290.6,69,132,43,6.3,0.3,0.1,47.1,30.9,18.3,17,3.4,1.2
ENSI,Maize,---,19.8,19.4,0.98,418,90,42.1,46.8,6.3,1.1,0.2,43.4,47.7,11.5,11.4,5.6,1.3
ENSI,Mix,Residue,23.3,22.9,0.98,371.5,81,62.4,45.5,6.6,0.7,0.1,45.1,13.5,9,14,4.6,1.3
CER,Maize,Fresh residue from sweet corn,24.6,24.2,0.98,314,77,53.1,43.5,6,0.8,0.1,47.9,29.5,16.1,15.4,5.1,1.2
CER,Maize,Fresh residue from sweet corn,21.9,21.4,0.98,262.7,63,43.3,43.5,6.2,1,0.2,46.6,29.5,16.1,15.4,5.1,1.2
CER,Maize,Fresh residue from sweet corn,23.6,23.1,0.98,312.3,69,36.9,44.6,6.7,1.2,0.6,44.7,29.5,16.1,15.4,5.1,1.2
CER,Maize,Fresh residue from sweet corn,21.9,21.4,0.98,263.7,60,57.8,44,6.7,0.8,0.04,46.4,29.5,16.1,15.4,5.1,1.2
CER,Maize,Fresh residue from sweet corn,26.5,26,0.98,306.8,71,56.7,43.7,6.7,0.8,0.1,46.9,29.5,16.1,15.4,5.1,1.2
CER,Maize,Flour,87,85.4,0.98,325.4,80,37.8,41.4,6.8,1.1,0.1,48.8,60.9,7.2,6.2,6.8,1.2
LCM,Maize Residue,Cob,28.4,27.7,0.98,272.2,63,497.8,44.1,6.3,0.1,0.1,47.2,29,26,19.8,0.6,1.2
CER,Maize,Fresh residue from sweet corn,26.7,26.3,0.99,335.5,78,49.6,44.6,6.3,0.9,0.1,46.5,29.5,16.1,15.4,5.1,1.2
