scenario_id,basis,outer_id,repeat,fold,model_1,model_2,spearman_rank_correlation,kendall_rank_correlation,top3_overlap_count,top3_overlap_features
A_BMP_VS_all_features,outer_fold_heldout,31,7,1,GradientBoosting,RandomForest,0.9363636363636365,0.8181818181818182,3,DM; Lignin; VS
A_BMP_VS_all_features,outer_fold_heldout,32,7,2,ExtraTrees,GradientBoosting,0.8545454545454546,0.6727272727272727,2,Lignin; Oxygen
A_BMP_VS_all_features,outer_fold_heldout,32,7,2,ExtraTrees,RandomForest,0.9363636363636365,0.8181818181818182,3,DM; Lignin; Oxygen
A_BMP_VS_all_features,outer_fold_heldout,32,7,2,GradientBoosting,RandomForest,0.8454545454545455,0.7090909090909091,2,Lignin; Oxygen
A_BMP_VS_all_features,outer_fold_heldout,33,7,3,ExtraTrees,GradientBoosting,0.9181818181818183,0.7818181818181819,2,DM; Hemicelluloses
A_BMP_VS_all_features,outer_fold_heldout,33,7,3,ExtraTrees,RandomForest,0.881818181818182,0.7090909090909091,2,DM; Hydrogen
A_BMP_VS_all_features,outer_fold_heldout,33,7,3,GradientBoosting,RandomForest,0.9090909090909091,0.7818181818181819,2,DM; Lignin
A_BMP_VS_all_features,outer_fold_heldout,34,7,4,ExtraTrees,GradientBoosting,0.9363636363636365,0.8181818181818182,3,DM; Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,34,7,4,ExtraTrees,RandomForest,0.8909090909090911,0.7818181818181819,3,DM; Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,34,7,4,GradientBoosting,RandomForest,0.7818181818181819,0.6727272727272727,3,DM; Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,35,7,5,ExtraTrees,GradientBoosting,0.8545454545454546,0.7090909090909091,1,Hydrogen
A_BMP_VS_all_features,outer_fold_heldout,35,7,5,ExtraTrees,RandomForest,0.9,0.7818181818181819,2,DM; Hydrogen
A_BMP_VS_all_features,outer_fold_heldout,35,7,5,GradientBoosting,RandomForest,0.9090909090909091,0.8545454545454545,2,Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,36,8,1,ExtraTrees,GradientBoosting,0.8272727272727273,0.6727272727272727,3,DM; Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,36,8,1,ExtraTrees,RandomForest,0.8363636363636365,0.6363636363636364,2,Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,36,8,1,GradientBoosting,RandomForest,0.790909090909091,0.6000000000000001,2,Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,37,8,2,ExtraTrees,GradientBoosting,0.7545454545454545,0.5636363636363636,1,Oxygen
A_BMP_VS_all_features,outer_fold_heldout,37,8,2,ExtraTrees,RandomForest,0.7818181818181819,0.5636363636363636,2,DM; Oxygen
A_BMP_VS_all_features,outer_fold_heldout,37,8,2,GradientBoosting,RandomForest,0.8454545454545455,0.7090909090909091,2,Lignin; Oxygen
A_BMP_VS_all_features,outer_fold_heldout,38,8,3,ExtraTrees,GradientBoosting,0.9454545454545454,0.8181818181818182,3,DM; Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,38,8,3,ExtraTrees,RandomForest,0.9,0.7454545454545454,3,DM; Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,38,8,3,GradientBoosting,RandomForest,0.8545454545454546,0.7090909090909091,3,DM; Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,39,8,4,ExtraTrees,GradientBoosting,0.7727272727272727,0.5272727272727272,2,Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,39,8,4,ExtraTrees,RandomForest,0.9,0.7818181818181819,2,DM; Lignin
A_BMP_VS_all_features,outer_fold_heldout,39,8,4,GradientBoosting,RandomForest,0.8727272727272729,0.6727272727272727,1,Lignin
A_BMP_VS_all_features,outer_fold_heldout,40,8,5,ExtraTrees,GradientBoosting,0.8545454545454546,0.7090909090909091,1,Lignin
A_BMP_VS_all_features,outer_fold_heldout,40,8,5,ExtraTrees,RandomForest,0.9454545454545454,0.8181818181818182,3,DM; Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,40,8,5,GradientBoosting,RandomForest,0.881818181818182,0.7454545454545454,1,Lignin
A_BMP_VS_all_features,outer_fold_heldout,41,9,1,ExtraTrees,GradientBoosting,0.7363636363636363,0.5272727272727272,2,Lignin; Oxygen
A_BMP_VS_all_features,outer_fold_heldout,41,9,1,ExtraTrees,RandomForest,0.8909090909090911,0.7090909090909091,3,DM; Lignin; Oxygen
A_BMP_VS_all_features,outer_fold_heldout,41,9,1,GradientBoosting,RandomForest,0.8090909090909091,0.6727272727272727,2,Lignin; Oxygen
A_BMP_VS_all_features,outer_fold_heldout,42,9,2,ExtraTrees,GradientBoosting,0.9090909090909091,0.7454545454545454,2,DM; Lignin
A_BMP_VS_all_features,outer_fold_heldout,42,9,2,ExtraTrees,RandomForest,0.9272727272727275,0.8545454545454545,3,DM; Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,42,9,2,GradientBoosting,RandomForest,0.9363636363636365,0.8181818181818182,2,DM; Lignin
A_BMP_VS_all_features,outer_fold_heldout,43,9,3,ExtraTrees,GradientBoosting,0.8545454545454546,0.6727272727272727,2,Hydrogen; VS
A_BMP_VS_all_features,outer_fold_heldout,43,9,3,ExtraTrees,RandomForest,0.9181818181818183,0.7818181818181819,2,DM; VS
A_BMP_VS_all_features,outer_fold_heldout,43,9,3,GradientBoosting,RandomForest,0.9,0.7454545454545454,2,Lignin; VS
A_BMP_VS_all_features,outer_fold_heldout,44,9,4,ExtraTrees,GradientBoosting,0.9272727272727275,0.8181818181818182,3,DM; Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,44,9,4,ExtraTrees,RandomForest,0.9636363636363637,0.8909090909090909,2,Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,44,9,4,GradientBoosting,RandomForest,0.9090909090909091,0.7818181818181819,2,Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,45,9,5,ExtraTrees,GradientBoosting,0.8909090909090911,0.7090909090909091,3,DM; Lignin; Oxygen
A_BMP_VS_all_features,outer_fold_heldout,45,9,5,ExtraTrees,RandomForest,0.9363636363636365,0.7818181818181819,3,DM; Lignin; Oxygen
A_BMP_VS_all_features,outer_fold_heldout,45,9,5,GradientBoosting,RandomForest,0.9363636363636365,0.8545454545454545,3,DM; Lignin; Oxygen
A_BMP_VS_all_features,outer_fold_heldout,46,10,1,ExtraTrees,GradientBoosting,0.7818181818181819,0.5636363636363636,2,DM; Oxygen
A_BMP_VS_all_features,outer_fold_heldout,46,10,1,ExtraTrees,RandomForest,0.8545454545454546,0.6727272727272727,2,DM; Oxygen
A_BMP_VS_all_features,outer_fold_heldout,46,10,1,GradientBoosting,RandomForest,0.9090909090909091,0.7454545454545454,3,DM; Lignin; Oxygen
A_BMP_VS_all_features,outer_fold_heldout,47,10,2,ExtraTrees,GradientBoosting,0.9,0.7090909090909091,2,DM; Lignin
A_BMP_VS_all_features,outer_fold_heldout,47,10,2,ExtraTrees,RandomForest,0.9636363636363637,0.8909090909090909,2,DM; Lignin
A_BMP_VS_all_features,outer_fold_heldout,47,10,2,GradientBoosting,RandomForest,0.8454545454545455,0.6727272727272727,2,DM; Lignin
A_BMP_VS_all_features,outer_fold_heldout,48,10,3,ExtraTrees,GradientBoosting,0.9272727272727275,0.7818181818181819,2,DM; Lignin
A_BMP_VS_all_features,outer_fold_heldout,48,10,3,ExtraTrees,RandomForest,0.9454545454545454,0.8181818181818182,2,DM; Lignin
A_BMP_VS_all_features,outer_fold_heldout,48,10,3,GradientBoosting,RandomForest,0.990909090909091,0.9636363636363636,3,DM; Lignin; VS
A_BMP_VS_all_features,outer_fold_heldout,49,10,4,ExtraTrees,GradientBoosting,0.8636363636363636,0.7090909090909091,2,DM; Lignin
A_BMP_VS_all_features,outer_fold_heldout,49,10,4,ExtraTrees,RandomForest,0.8272727272727273,0.6727272727272727,3,DM; Hydrogen; Lignin
A_BMP_VS_all_features,outer_fold_heldout,49,10,4,GradientBoosting,RandomForest,0.8636363636363636,0.7454545454545454,2,DM; Lignin
A_BMP_VS_all_features,outer_fold_heldout,50,10,5,ExtraTrees,GradientBoosting,0.8545454545454546,0.6727272727272727,2,Lignin; Oxygen
A_BMP_VS_all_features,outer_fold_heldout,50,10,5,ExtraTrees,RandomForest,0.9181818181818183,0.7818181818181819,3,Hydrogen; Lignin; Oxygen
A_BMP_VS_all_features,outer_fold_heldout,50,10,5,GradientBoosting,RandomForest,0.9272727272727275,0.8181818181818182,2,Lignin; Oxygen
B_BMP_DM_no_DM_VS,outer_fold_heldout,1,1,1,ExtraTrees,GradientBoosting,0.9166666666666666,0.7777777777777778,2,Lignin; Oxygen
B_BMP_DM_no_DM_VS,outer_fold_heldout,1,1,1,ExtraTrees,RandomForest,0.9500000000000001,0.8333333333333334,3,Hydrogen; Lignin; Oxygen
B_BMP_DM_no_DM_VS,outer_fold_heldout,1,1,1,GradientBoosting,RandomForest,0.9,0.7222222222222222,2,Lignin; Oxygen
B_BMP_DM_no_DM_VS,outer_fold_heldout,2,1,2,ExtraTrees,GradientBoosting,0.9666666666666667,0.8888888888888888,3,Hydrogen; Lignin; Oxygen
B_BMP_DM_no_DM_VS,outer_fold_heldout,2,1,2,ExtraTrees,RandomForest,0.9166666666666666,0.8333333333333334,3,Hydrogen; Lignin; Oxygen
