scenario_id,model,basis,outer_id,repeat,fold,feature,mean_abs_shap,rank
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,3,1,3,Sulfur,1.4800334846555723,10
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,3,1,3,Nitrogen,1.3361825429442025,11
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,3,1,3,Lignin,16.338451011309818,1
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,3,1,3,VS,10.005577465661409,2
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,3,1,3,Oxygen,9.882196388701846,3
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,3,1,3,DM,9.679824365840373,4
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,3,1,3,Hydrogen,6.171883548859046,5
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,3,1,3,Cellulose,4.988158474533752,6
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,3,1,3,C/N,4.846722240532753,7
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,3,1,3,Carbon,3.9638517032437157,8
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,3,1,3,Hemicelluloses,3.912865680616266,9
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,3,1,3,Nitrogen,3.126731063966892,10
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,3,1,3,Sulfur,1.8844651309864018,11
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,3,1,3,DM,12.589323518211348,1
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,3,1,3,Hydrogen,8.788874378124277,2
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,3,1,3,Lignin,8.784312262627461,3
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,3,1,3,Oxygen,7.506912624144807,4
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,3,1,3,VS,5.800962463988626,5
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,3,1,3,Hemicelluloses,3.977325698336038,6
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,3,1,3,Cellulose,3.8413191081846714,7
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,3,1,3,Sulfur,3.6377747520785015,8
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,3,1,3,Carbon,3.3758489763617074,9
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,3,1,3,C/N,2.944893758459135,10
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,3,1,3,Nitrogen,1.7450049772945528,11
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,4,1,4,Lignin,10.408794473244274,1
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,4,1,4,DM,7.074276729550648,2
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,4,1,4,VS,6.772505003891877,3
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,4,1,4,Carbon,6.707044968218026,4
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,4,1,4,Hydrogen,5.620991846070697,5
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,4,1,4,Oxygen,5.416749426837219,6
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,4,1,4,Hemicelluloses,5.253997062671232,7
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,4,1,4,Sulfur,2.264312197493039,8
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,4,1,4,Cellulose,1.226018782107374,9
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,4,1,4,C/N,1.0283911529368093,10
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,4,1,4,Nitrogen,0.3616315808171644,11
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,4,1,4,Lignin,16.31043678872965,1
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,4,1,4,VS,10.689397107925096,2
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,4,1,4,DM,8.97945556880094,3
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,4,1,4,Hydrogen,7.5936475347604855,4
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,4,1,4,Carbon,7.084500551306595,5
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,4,1,4,Hemicelluloses,5.7868864951567005,6
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,4,1,4,Oxygen,4.954432041561899,7
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,4,1,4,C/N,2.94425270612953,8
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,4,1,4,Nitrogen,2.0698879687551415,9
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,4,1,4,Sulfur,1.4204780657163436,10
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,4,1,4,Cellulose,1.1739602483850573,11
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,4,1,4,DM,12.584361168341529,1
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,4,1,4,Carbon,8.533047186804884,2
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,4,1,4,Hydrogen,7.96102880642896,3
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,4,1,4,Lignin,7.11607473841907,4
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,4,1,4,VS,6.3454288749478875,5
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,4,1,4,Oxygen,5.694511954250524,6
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,4,1,4,Hemicelluloses,5.262846215283278,7
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,4,1,4,Sulfur,3.4857377957483235,8
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,4,1,4,Cellulose,2.1620039050592315,9
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,4,1,4,Nitrogen,1.2262791559623079,10
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,4,1,4,C/N,1.1189000521206012,11
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,5,1,5,Lignin,13.073798652193863,1
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,5,1,5,DM,12.813649413391285,2
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,5,1,5,Hydrogen,11.268721785839297,3
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,5,1,5,VS,7.630469686311864,4
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,5,1,5,Oxygen,6.91836029711624,5
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,5,1,5,Hemicelluloses,5.175702348316031,6
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,5,1,5,Carbon,3.1185766426974255,7
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,5,1,5,Sulfur,2.659927189940614,8
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,5,1,5,Cellulose,1.931152354225591,9
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,5,1,5,C/N,1.4530116503875836,10
A_BMP_VS_all_features,RandomForest,outer_fold_heldout,5,1,5,Nitrogen,0.8111814349587348,11
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,5,1,5,Lignin,16.01300157931968,1
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,5,1,5,DM,14.754353136664056,2
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,5,1,5,Hydrogen,10.218725029300655,3
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,5,1,5,VS,8.517399259347709,4
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,5,1,5,Oxygen,5.89663104948366,5
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,5,1,5,Hemicelluloses,4.844375058006729,6
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,5,1,5,Cellulose,4.026582147902867,7
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,5,1,5,C/N,3.8174489510334992,8
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,5,1,5,Carbon,2.315933618352546,9
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,5,1,5,Sulfur,1.7673430128730439,10
A_BMP_VS_all_features,GradientBoosting,outer_fold_heldout,5,1,5,Nitrogen,1.3435325810689946,11
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,5,1,5,Hydrogen,13.374521497376227,1
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,5,1,5,DM,12.254611494532519,2
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,5,1,5,Lignin,9.775500284242955,3
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,5,1,5,Oxygen,7.490877203840966,4
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,5,1,5,VS,5.7327878775035,5
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,5,1,5,Cellulose,5.337736419907743,6
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,5,1,5,Hemicelluloses,4.6167454466536055,7
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,5,1,5,Sulfur,3.8497726462417834,8
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,5,1,5,Carbon,3.269935810300919,9
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,5,1,5,C/N,1.6450333307269265,10
A_BMP_VS_all_features,ExtraTrees,outer_fold_heldout,5,1,5,Nitrogen,1.3625455947999885,11
