scenario_id,model,BMP_range,range_min_observed,range_max_observed,n,R2,RMSE,MAE,MAPE_pct,nRMSE_mean_pct,nRMSE_range_pct,RPD,bias_pred_minus_obs,median_abs_error
A_BMP_VS_all_features,Ridge_alpha_1,low_observed_BMP,63.1,263.7,43.0,-1.9388168868408275,68.96658129169809,58.51773874416376,32.49725631435011,32.49184292429158,34.38015019526326,0.5902327715997083,41.82382600325943,56.84539539743659
A_BMP_VS_all_features,Ridge_alpha_1,mid_observed_BMP,263.8,305.3,42.0,-5.535622781760786,29.467049774756962,23.391280342878137,8.350383726327422,10.40074702326853,71.00493921628184,0.39590339670906466,-0.6996251816229576,20.94532413971777
B_BMP_DM_no_DM_VS,ExtraTrees_fixed,high_observed_BMP,281.952,410.468,42.0,-1.9051023453924572,59.29189035297918,44.8321336190476,13.201680724856843,18.409013317756486,46.135804376870716,0.5938161410182841,-40.19397290476187,35.07466550000004
B_BMP_DM_no_DM_VS,ExtraTrees_fixed,low_observed_BMP,29.026000000000003,228.0,42.0,-1.330889834752763,60.281579693361685,47.18316585714286,37.002925181286514,34.24595894478949,30.296209400907497,0.662936365387913,37.7953219047619,37.18142299999998
B_BMP_DM_no_DM_VS,ExtraTrees_fixed,mid_observed_BMP,230.244,281.882,43.0,-3.0232523587499944,28.609717174391214,21.6119637906977,8.458398377741402,10.987757951105118,55.404386642378114,0.5044532743122536,8.797097465116314,15.280974999999842
B_BMP_DM_no_DM_VS,GradientBoosting_fixed,high_observed_BMP,281.952,410.468,42.0,-1.7962713615103896,58.17069273875562,45.17821786765835,13.406769697674967,18.06090261173577,45.26338567863582,0.6052615134085902,-38.93061019483314,36.12693575721178
B_BMP_DM_no_DM_VS,GradientBoosting_fixed,low_observed_BMP,29.026000000000003,228.0,42.0,-1.2743627755378668,59.54614079641126,47.286356967864585,36.861536599241965,33.828156186476264,29.926593824525444,0.6711241200062374,33.06181776857624,44.51538048648702
B_BMP_DM_no_DM_VS,GradientBoosting_fixed,mid_observed_BMP,230.244,281.882,43.0,-2.992762212793154,28.50110188361624,22.078627686745776,8.635090746605886,10.946043504312454,55.19404679425275,0.5063757031115174,8.937290765517739,17.0564779167712
B_BMP_DM_no_DM_VS,LinearRegression,high_observed_BMP,281.952,410.468,42.0,-1.7280559385876284,57.45677079039476,43.51423993645046,12.753549384369627,17.839243316055157,44.707873564688256,0.6127821149491268,-38.98850913424547,28.304480469489818
B_BMP_DM_no_DM_VS,LinearRegression,low_observed_BMP,29.026000000000003,228.0,42.0,-1.2980605233218703,59.85555772403755,50.413371009108644,34.34172914642992,34.00393590980491,30.08210003519935,0.6676548153808319,32.85696526334782,40.61188718898009
B_BMP_DM_no_DM_VS,LinearRegression,mid_observed_BMP,230.244,281.882,43.0,-3.0475082826061852,28.69583062791776,22.514955592998625,8.710164412013146,11.020830413091229,55.57115036972338,0.5029394581012135,5.001981473560352,16.86086130011296
B_BMP_DM_no_DM_VS,Mean_baseline,high_observed_BMP,281.952,410.468,42.0,-4.0344433316365365,78.05312700640906,69.7408358631241,20.814062848261624,24.234023337751875,60.73417084752797,0.45108354877562173,-69.7408358631241,60.37634638905067
B_BMP_DM_no_DM_VS,Mean_baseline,low_observed_BMP,29.026000000000003,228.0,42.0,-3.86414738240308,87.08174304637348,77.41111962563905,63.85489176837724,49.47112886517835,43.76538796343918,0.45891193657524376,77.41111962563905,73.53927792661621
B_BMP_DM_no_DM_VS,Mean_baseline,mid_observed_BMP,230.244,281.882,43.0,-0.30000709929951763,16.26289242458083,14.372882291313957,5.4644589084193305,6.2458752897461185,31.494040095628854,0.8874353423106499,-7.558258606141052,13.769866744321519
B_BMP_DM_no_DM_VS,RF_fixed_selected_params,high_observed_BMP,281.952,410.468,42.0,-1.6405367360481042,56.52761800401387,43.99326828571426,12.976329632038588,17.550758905845136,43.98488748795003,0.6228545048649541,-39.630707238095226,33.47031399999997
B_BMP_DM_no_DM_VS,RF_fixed_selected_params,low_observed_BMP,29.026000000000003,228.0,42.0,-1.2432770443093126,59.13780579363416,45.43406666666667,37.1460921480228,33.59618111528606,29.72137354309315,0.6757581010227605,38.47254638095239,40.638375000000025
B_BMP_DM_no_DM_VS,RF_fixed_selected_params,mid_observed_BMP,230.244,281.882,43.0,-2.6554358585485143,27.270588564542667,20.614988930232574,8.04960409322863,10.473456431075192,52.811085953256644,0.5292245699652429,6.845313581395365,13.521098000000052
B_BMP_DM_no_DM_VS,RF_nested_gridsearch,high_observed_BMP,281.952,410.468,42.0,-1.549326970262845,55.542746177857104,42.88670521602311,12.628166255872792,17.24497478501398,43.2185456891415,0.6338988247059645,-39.81258341948627,30.490560497280484
B_BMP_DM_no_DM_VS,RF_nested_gridsearch,low_observed_BMP,29.026000000000003,228.0,42.0,-1.2919005576526397,59.775282293994664,44.80059633820046,37.83717260727354,33.95833144662547,30.041755351952855,0.668551444813066,38.20587638229318,35.46601790188517
B_BMP_DM_no_DM_VS,RF_nested_gridsearch,mid_observed_BMP,230.244,281.882,43.0,-2.154428393448436,25.332920713098222,19.83582109373418,7.742651278091069,9.729281813355904,49.05867909891595,0.569703970150866,6.0852417149945985,14.293503423589783
B_BMP_DM_no_DM_VS,Ridge_alpha_1,high_observed_BMP,281.952,410.468,42.0,-1.730757959142374,57.48521796234963,43.57413486017366,12.771636790958322,17.848075626245503,44.73000868557193,0.6124788731973735,-39.065521678270805,28.32879374467953
B_BMP_DM_no_DM_VS,Ridge_alpha_1,low_observed_BMP,29.026000000000003,228.0,42.0,-1.2856386397113817,59.69356759399234,50.27918640399147,34.39814767273521,33.91190933433678,30.00068732296297,0.6694666268494387,33.04311427416974,40.27568123690283
B_BMP_DM_no_DM_VS,Ridge_alpha_1,mid_observed_BMP,230.244,281.882,43.0,-2.9935461867495063,28.503899824454034,22.34954090475386,8.645030170130646,10.94711807266627,55.1994651699408,0.506325997307479,4.9365043424197985,16.65231972070029
C_BMP_DM_all_features,ExtraTrees_fixed,high_observed_BMP,281.952,410.468,42.0,-1.0816984561157743,50.190727231083315,37.277769119047605,10.945551064462425,15.583273876483355,39.05406893389408,0.7014937512457593,-33.5319769285714,29.04448199999976
C_BMP_DM_all_features,ExtraTrees_fixed,low_observed_BMP,29.026000000000003,228.0,42.0,-0.7620235710795071,52.41186425532597,40.901452190476185,33.61012427071536,29.77517445027125,26.341061774566516,0.7624771969010449,32.52936690476191,33.688522499999976
C_BMP_DM_all_features,ExtraTrees_fixed,mid_observed_BMP,230.244,281.882,43.0,-2.264147633919003,25.76972736333538,19.656215999999997,7.678265149992236,9.897040400935898,49.90458066411437,0.5600472718350558,5.8034156279070155,13.63703100000032
C_BMP_DM_all_features,GradientBoosting_fixed,high_observed_BMP,281.952,410.468,42.0,-0.7925714641067221,46.57499507289014,35.640941968897906,10.57444358168868,14.460657257965067,36.24061990171662,0.7559524476166629,-31.227571967728572,28.018704166179475
C_BMP_DM_all_features,GradientBoosting_fixed,low_observed_BMP,29.026000000000003,228.0,42.0,-0.6339483168922468,50.47111605828721,39.327284289263424,33.08041317402933,28.672635608123382,25.365683988002058,0.791796466232437,27.45659666480701,35.83399575381422
C_BMP_DM_all_features,GradientBoosting_fixed,mid_observed_BMP,230.244,281.882,43.0,-2.7089818368352434,27.469596525773785,21.527317258951072,8.411927096473368,10.54988680244243,53.19647648199734,0.5253905164652806,6.880503293054195,14.002360220848516
C_BMP_DM_all_features,LinearRegression,high_observed_BMP,281.952,410.468,42.0,-1.4236357591098039,54.1562088139688,42.422744943666565,12.58449800585589,16.814481092783364,42.139662620972324,0.6501282548050853,-36.82213043096278,31.71280185120628
C_BMP_DM_all_features,LinearRegression,low_observed_BMP,29.026000000000003,228.0,42.0,-1.260404098733507,59.36313028431886,50.14138951171905,31.147548725780172,33.72418793422637,29.834616725963624,0.6731931276258094,29.302158636730383,42.51085522130742
C_BMP_DM_all_features,LinearRegression,mid_observed_BMP,230.244,281.882,43.0,-3.718000756710744,30.98160626672945,23.94634253863191,9.289714814179433,11.898698212227552,59.99768826586902,0.46583335226449174,4.132447304943555,18.269735413077996
C_BMP_DM_all_features,Mean_baseline,high_observed_BMP,281.952,410.468,42.0,-4.0344433316365365,78.05312700640906,69.7408358631241,20.814062848261624,24.234023337751875,60.73417084752797,0.45108354877562173,-69.7408358631241,60.37634638905067
C_BMP_DM_all_features,Mean_baseline,low_observed_BMP,29.026000000000003,228.0,42.0,-3.86414738240308,87.08174304637348,77.41111962563905,63.85489176837724,49.47112886517835,43.76538796343918,0.45891193657524376,77.41111962563905,73.53927792661621
C_BMP_DM_all_features,Mean_baseline,mid_observed_BMP,230.244,281.882,43.0,-0.30000709929951763,16.26289242458083,14.372882291313957,5.4644589084193305,6.2458752897461185,31.494040095628854,0.8874353423106499,-7.558258606141052,13.769866744321519
C_BMP_DM_all_features,RF_fixed_selected_params,high_observed_BMP,281.952,410.468,42.0,-1.0091804827366446,49.308756879210485,38.31754704761903,11.292025796817384,15.309438722015598,38.36779613371913,0.7140411511353654,-35.75396819047618,30.975723999999985
C_BMP_DM_all_features,RF_fixed_selected_params,low_observed_BMP,29.026000000000003,228.0,42.0,-0.7506426311537477,52.24232549136414,40.64258542857143,34.72551676719244,29.67885949668641,26.255855283285324,0.7649516166420469,33.636395428571426,36.40647000000004
C_BMP_DM_all_features,RF_fixed_selected_params,mid_observed_BMP,230.244,281.882,43.0,-2.1587412976432483,25.350233063528353,19.53583990697676,7.634108846014395,9.735930740184907,49.09220547567364,0.5693149041115925,6.928793953488393,14.20016000000004
C_BMP_DM_all_features,RF_nested_gridsearch,high_observed_BMP,281.952,410.468,42.0,-1.0525722523230994,49.838367148079705,38.62950001343978,11.357760489923445,15.473872718550238,38.77989289121954,0.7064533518619082,-36.61326472807832,31.3843654826604
C_BMP_DM_all_features,RF_nested_gridsearch,low_observed_BMP,29.026000000000003,228.0,42.0,-0.8178043447272132,53.23500745174375,41.12191641966649,35.49702011072583,30.24280201168551,26.754755622213832,0.7506874377351104,34.3357939949363,36.01689330411325
C_BMP_DM_all_features,RF_nested_gridsearch,mid_observed_BMP,230.244,281.882,43.0,-2.082104699147703,25.04082430478088,18.865912254507883,7.383272947920844,9.617100185924405,48.49301736082125,0.576349457594082,6.77136581731778,12.089189603499108
C_BMP_DM_all_features,Ridge_alpha_1,high_observed_BMP,281.952,410.468,42.0,-1.4029113033839589,53.92416743243819,42.467587071386184,12.627329414991415,16.74243662165186,41.95910815185516,0.6529258252748764,-36.779529983923105,33.07996972719363
C_BMP_DM_all_features,Ridge_alpha_1,low_observed_BMP,29.026000000000003,228.0,42.0,-1.1572657554408958,57.99299998075827,49.313605078884066,32.39779372515309,32.94581705603396,29.146019068198996,0.6890978455161564,30.982892619372468,42.460736906383346
C_BMP_DM_all_features,Ridge_alpha_1,mid_observed_BMP,230.244,281.882,43.0,-3.568383248174565,30.486403432227068,23.737807363680712,9.201380145205336,11.70851216987535,59.03869908251107,0.4734000695704521,3.899421211143145,20.168233947062106
D1_BMP_DM_no_DM,ExtraTrees_fixed,high_observed_BMP,281.952,410.468,42.0,-1.265438460411163,52.35892399142702,38.87000721428572,11.40884236462023,16.25645806405207,40.74117152060989,0.6724447112177129,-35.205627547619024,31.84730249999984
D1_BMP_DM_no_DM,ExtraTrees_fixed,low_observed_BMP,29.026000000000003,228.0,42.0,-0.9683138547957066,55.3950457485427,42.6074318095238,34.64110106098768,31.469919535938047,27.840343838161118,0.7214156212301772,34.39027309523809,35.63996599999997
D1_BMP_DM_no_DM,ExtraTrees_fixed,mid_observed_BMP,230.244,281.882,43.0,-2.4188501709862225,26.37332954699513,20.240761395348848,7.914404161142195,10.128857956222616,51.07349151205533,0.5472295593187064,6.61209706976748,16.443297999999913
D1_BMP_DM_no_DM,GradientBoosting_fixed,high_observed_BMP,281.952,410.468,42.0,-0.8352092912419409,47.12565266079773,36.05953438131502,10.690158230780208,14.631626049969606,36.66909385663865,0.7471192341145884,-31.527671734715817,30.73383887971454
