comparison_method,model,outer_id,repeat,fold,n,R2,RMSE,MAE,MAPE_pct,nRMSE_mean_pct,nRMSE_range_pct,RPD,bias_pred_minus_obs,median_abs_error
two_stage_BMPVS_OOF_times_measured_VS_DM,RF_fixed_selected_params,28,6,3,25,0.6320316162504485,37.81508971660516,29.86543440000001,13.520950943728582,14.833123235486267,17.304459710703053,1.6825157210798811,-4.359855199999981,23.112359999999967
direct_BMPDM_all_features,RF_fixed_selected_params,28,6,3,25,0.6521663305329197,36.76594148650448,27.980978399999984,12.638304427393694,14.421590561466402,16.824361860495905,1.7305277757021045,-6.435435999999993,19.14871999999997
two_stage_BMPVS_OOF_times_measured_VS_DM,GradientBoosting_fixed,28,6,3,25,0.6657879370808826,36.038851564483814,28.566993432797016,12.86109866836876,14.136386572861905,16.491640231221545,1.7654414660908915,-6.724296405203278,21.03535184312028
direct_BMPDM_all_features,GradientBoosting_fixed,28,6,3,25,0.6406999285586568,37.36702600527865,29.01640236023026,13.16131745368471,14.65736841651682,17.099422502049467,1.702690573588768,-5.799776492108648,22.413352592954595
two_stage_BMPVS_OOF_times_measured_VS_DM,ExtraTrees_fixed,28,6,3,25,0.6067185693411926,39.094134521795034,32.19896200000004,14.135304574601696,15.334833779115073,17.8897599034426,1.627468767898253,-9.323486800000097,27.6456
direct_BMPDM_all_features,ExtraTrees_fixed,28,6,3,25,0.6511264299343347,36.82085910200927,28.788200800000006,12.660523307753117,14.443132220224491,16.84949256022536,1.7279467262284058,-7.635739999999973,23.75030000000004
two_stage_BMPVS_OOF_times_measured_VS_DM,RF_nested_gridsearch,29,6,4,25,0.6962757656764338,40.176418378459175,32.49717558453879,23.178452988310344,16.824870723580492,11.658551685666705,1.851930398767673,16.95238762476525,27.176709714285835
direct_BMPDM_all_features,RF_nested_gridsearch,29,6,4,25,0.5548808163320347,48.63732160704418,36.73142644934356,33.219631170188364,20.368083602456508,14.1137699848362,1.5297703091014945,18.39482323023608,23.4168204264069
two_stage_BMPVS_OOF_times_measured_VS_DM,Mean_baseline,29,6,4,25,0.5002755259298475,51.534350248763836,36.65153529411765,29.66400584750424,21.58128613137025,14.954441192413384,1.443773524833788,11.902824705882358,20.123627450980393
direct_BMPDM_all_features,Mean_baseline,29,6,4,25,-0.05795849812254161,74.98351771396567,52.528596470588234,52.67943019273299,31.40120605208522,21.759013175501995,0.9922704719255795,17.55052274509805,29.70263725490196
two_stage_BMPVS_OOF_times_measured_VS_DM,LinearRegression,29,6,4,25,0.46362952156974335,53.39049264796753,41.166110690859384,22.26667434431453,22.358591754210497,15.493063921130187,1.3935801454251833,6.776565318534796,32.90201097514057
direct_BMPDM_all_features,LinearRegression,29,6,4,25,0.33909271968544596,59.26547410207792,45.938363674712924,34.27577575607528,24.818885813718726,17.1978892315865,1.2554346630303608,2.002335914579404,41.839465721849194
two_stage_BMPVS_OOF_times_measured_VS_DM,Ridge_alpha_1,29,6,4,25,0.5320294320706673,49.870160382286265,39.59169725657348,22.649240511477807,20.884365387982378,14.471520007395705,1.4919529020625493,13.210437855343418,33.2216073582598
direct_BMPDM_all_features,Ridge_alpha_1,29,6,4,25,0.5039224549091067,51.34596016904587,40.05006044967769,20.49256199112181,21.502393117388714,14.899773415391317,1.4490707791560882,9.459066451291013,32.25877910553987
two_stage_BMPVS_OOF_times_measured_VS_DM,RF_fixed_selected_params,29,6,4,25,0.6649324647266703,42.198563820742685,33.78821039999997,24.150919818295623,17.67169423408383,12.245345832738753,1.7631863213340817,16.599372000000002,25.007999999999925
direct_BMPDM_all_features,RF_fixed_selected_params,29,6,4,25,0.5986770861151354,46.18261000919374,34.18762400000002,31.4559915190931,19.34011229579442,13.401452083141688,1.6110811081024852,17.300407999999976,27.914300000000082
two_stage_BMPVS_OOF_times_measured_VS_DM,GradientBoosting_fixed,29,6,4,25,0.6652023745436708,42.18156411158608,35.569550647807446,24.383810796411584,17.664575184640345,12.240412790027563,1.763896907944201,17.06294588044065,32.50323132204795
