scenario_id,model,outer_id,repeat,fold,n,R2,RMSE,MAE,MAPE_pct,nRMSE_mean_pct,nRMSE_range_pct,RPD,bias_pred_minus_obs,median_abs_error
D2_BMP_DM_no_VS,LinearRegression,2,1,2,26.0,0.3105634239600451,47.2827512611124,37.16714527675156,15.604620637317185,18.244330704500573,21.940544612217135,1.2282011783021443,-12.012282707670153,31.901413228724593
D2_BMP_DM_no_VS,LinearRegression,3,1,3,25.0,0.6272321177439915,36.49820659566218,30.240767793010374,14.373537323412815,15.230942732205746,15.809671054172306,1.6716491825101591,3.694540403842714,22.131661456614722
D2_BMP_DM_no_VS,LinearRegression,4,1,4,25.0,0.26379062379464446,63.79919711177326,49.842635569487484,21.44758660578579,24.121266737750915,23.67071217527428,1.189497986873007,6.320398526105536,29.77170634770937
D2_BMP_DM_no_VS,LinearRegression,5,1,5,25.0,0.4970583017070155,40.89938445200193,30.90156810381435,14.54775148377198,16.14215494933889,17.706587664947328,1.4391483414032469,0.3514301661358138,26.94015012115588
D2_BMP_DM_no_VS,LinearRegression,6,2,1,26.0,0.5694075740534911,39.614928713978756,35.37943688148095,14.88110111629025,15.732338018265418,16.833491426644155,1.5541161604047955,-1.7567907312011215,32.02118549180338
D2_BMP_DM_no_VS,LinearRegression,7,2,2,26.0,0.509548872908195,46.59375807311952,33.99119923149597,14.399210075421456,17.749638980315535,17.079572906965996,1.4561925377905949,-10.975956944639266,19.234956766102727
D2_BMP_DM_no_VS,LinearRegression,8,2,3,25.0,0.09900898376000433,49.847037007214574,37.977122585154035,18.274072133498876,19.392151600636026,22.626067599549074,1.0752368828134131,19.922428351715993,26.876085467672056
D2_BMP_DM_no_VS,LinearRegression,9,2,4,25.0,0.23786126550169695,55.28221373661497,42.11424225927022,18.396034280722798,22.05461895573445,21.054917976178945,1.1690884400289625,-4.9669606764611895,35.49667523451521
D2_BMP_DM_no_VS,LinearRegression,10,2,5,25.0,0.5295503410351654,60.06482181922101,48.427675699706576,34.25239175479191,24.812263089678105,15.910199568562797,1.488016697046397,4.871066425208029,47.6526659364518
D2_BMP_DM_no_VS,LinearRegression,11,3,1,26.0,0.5227107101386359,35.86186596687137,29.61716708757367,11.871453916078343,13.250349092331746,16.253712400797404,1.4761341413050557,-11.107768647395421,22.58560243897452
D2_BMP_DM_no_VS,LinearRegression,12,3,2,26.0,0.44358094645084256,53.87932990868314,41.49333910593039,17.827891412338488,20.03103152095145,17.340434130532206,1.3671484457036116,-12.006834842256664,29.168416424713357
D2_BMP_DM_no_VS,LinearRegression,13,3,3,25.0,0.3010029503557653,59.59179975377784,48.42174296600959,20.287995553230953,23.109656820046652,21.49326611090675,1.2207499415150427,-2.810418702742028,37.79387180008095
D2_BMP_DM_no_VS,LinearRegression,14,3,4,25.0,0.4679886721135258,41.59803430038089,31.482828946483693,15.685865266263377,17.529939390902275,18.1133506494034,1.3992777990283305,11.070599342747265,21.99227925683931
D2_BMP_DM_no_VS,LinearRegression,15,3,5,25.0,0.4527890320916732,52.49367036640039,41.235778152740565,23.140625917455438,22.993954080136355,15.80078091348568,1.379707378130424,7.60127336035863,35.2341560460213
D2_BMP_DM_no_VS,LinearRegression,16,4,1,26.0,0.3329195953201096,45.29083855703875,34.20104171313868,16.540145787594913,18.3666044259869,23.952760972392557,1.2486122110227806,5.425321989374083,23.973371428518206
D2_BMP_DM_no_VS,LinearRegression,17,4,2,26.0,0.2245519979093692,43.165340876743606,35.81098629145412,15.547854806141926,16.44959370349623,21.830556406366092,1.1580847132784355,-6.674279500136645,35.062630558811435
D2_BMP_DM_no_VS,LinearRegression,18,4,3,25.0,0.5896062259896577,49.03336836659901,41.457125385523184,23.480407204802113,20.426073012341366,12.882702256511585,1.5931769032684509,4.165347936543966,41.47371746290816
D2_BMP_DM_no_VS,LinearRegression,19,4,4,25.0,0.2782307292270024,61.469657837284345,47.328919613708656,19.053186873588064,21.40436608225992,19.73071384601302,1.2013379303001845,-16.3351851040357,37.413354305411474
D2_BMP_DM_no_VS,LinearRegression,20,4,5,25.0,0.5167594249314198,44.966683862710525,36.7438344345518,18.385368792909517,19.716200757693972,19.24103510569466,1.4681914385365744,7.439124710851308,35.55992663636579
D2_BMP_DM_no_VS,LinearRegression,21,5,1,26.0,0.6828144503937094,45.841363561901545,36.142893333801865,16.12077754173123,18.09360948922931,12.044056067801382,1.8107561668111773,-14.865333243278219,30.04153939402994
D2_BMP_DM_no_VS,LinearRegression,22,5,2,26.0,0.39986226875465913,51.546796088850584,40.16101740143098,22.251033190085145,21.02510789407687,19.65012449874795,1.3164100935440253,24.18731773566687,36.63851367035463
D2_BMP_DM_no_VS,LinearRegression,23,5,3,25.0,0.425490016525478,38.709434338690066,29.41736438553825,12.719408476062005,15.101505108249476,17.070436684419445,1.3465286350745522,0.9088755799065359,22.6786615099212
D2_BMP_DM_no_VS,LinearRegression,24,5,4,25.0,0.508474758398368,44.08041228633776,36.82964552062263,14.907787786302396,16.880152758721824,18.731000317139795,1.4557656606817073,-7.820864367020619,42.19910492547271
D2_BMP_DM_no_VS,LinearRegression,25,5,5,25.0,0.23501815099151946,60.92076422080977,48.31302405298856,21.614391059670318,24.492000085556,22.26375724360081,1.1669139136639881,-5.759371815971564,39.52455031618308
D2_BMP_DM_no_VS,LinearRegression,26,6,1,26.0,0.389737353392102,41.09787925514607,31.312367811185638,14.819125175058387,16.174448148785324,21.042491260078172,1.3054440873583457,3.0134985507235923,24.745102988043953
D2_BMP_DM_no_VS,LinearRegression,27,6,2,26.0,0.430738220314425,53.619599212148394,41.83137943600435,16.66230036700692,20.417485418401917,19.62262188738258,1.351638820095276,-6.3044397038752304,37.703706373723506
D2_BMP_DM_no_VS,LinearRegression,28,6,3,25.0,0.5514178017445226,41.75234764133341,33.484719061886715,15.164079194678443,16.377528721366787,19.10617753392399,1.523854023462102,-6.454580921420134,29.58718157264434
D2_BMP_DM_no_VS,LinearRegression,29,6,4,25.0,0.506266886294151,51.22448758637355,39.81399743212968,19.595249715511272,21.451523463437255,14.864524021825765,1.452507072583568,10.165806183632904,32.54562307325466
D2_BMP_DM_no_VS,LinearRegression,30,6,5,25.0,0.4775521698290327,53.272766477618596,42.75116690165756,19.735104272624707,21.00957062154756,17.317437294634246,1.4120267315797959,-3.8972440507210075,32.70247139089261
D2_BMP_DM_no_VS,LinearRegression,31,7,1,26.0,0.5268851608711251,44.614073641641426,39.8168304764541,18.074282701734315,17.65048031537279,19.325164013532632,1.4826320525090708,-3.3922109734337473,39.39598707476742
